India,Jorhāt,ASS,112030,137814,153889
India,Jūnāgadh,GUJ,167110,252108,319462
India,Kadapa (Cuddapah),AND,215866,262506,344893
India,Kākināda,AND,327541,376861,443028
India,Kānchipuram [Kancheepuram],TAM,171129,188733,221715
India,Kanhangad (Kānnangād),KER,118214,129367,229168
India,Kannur (Cannanore),KER,463962,498207,1640986
India,Kānpur [Kanpur],UTT,2029889,2715555,2920496
India,Kāraikudi,TAM,110926,125717,181851
India,Karīmnagar,AND,148583,218302,297447
India,Karnāl,HAR,176131,221236,302140
India,Karūr,TAM,113669,153365,234191
India,Kāsaragod,KER,50126,75968,192856
India,Katihār,BIH,154367,190873,240838
India,Kavaratti,LAK,8677,10119,11210
India,Kāyamkulam,KER,67151,68585,427967
India,Khammam (Khammamett),AND,149077,198620,262255
India,Khandwa,MAD,145133,172242,200738
India,Kharagpur,WES,264842,272865,299683
India,Kishangarh,RAJ,81948,116222,154886
India,Kochi [Cochin],KER,1140605,1355972,2119724
India,Kohīma,NAG,51418,77030,99039
India,Kolhāpur [Kolhapur],MAH,418538,505541,561837
India,Kolkata [Calcutta],WES,11021918,13205697,14057991
India,Kollam (Quilon),KER,362572,380091,1110668
India,Korba,CHH,124501,315690,365253
India,Kotā,RAJ,537371,703150,1001694
India,Kottayam,KER,166552,172878,357302
India,Kozhikode [Calicut],KER,801190,880247,2028399
India,Krishnanagar,WES,121110,148194,182010
India,Kumārapālayam,TAM,97160,104646,195071
India,Kumbakonam,TAM,150540,160767,167155
India,Kurnool,AND,275360,342973,484327
India,Lakhīmpur,UTT,79951,121486,165085
India,Lātūr,MAH,197408,299985,382940
India,Lucknow,UTT,1669204,2245509,2902920
India,Ludhiāna [Ludhiana],PUN,1042740,1398467,1618879
India,Machilīpatnam (Masulipatnam),AND,159110,179353,169892
India,Madanapalle,AND,73820,107449,180180
India,Madurai,TAM,1085914,1203095,1465625
India,Mahbūbnagar,AND,116833,139662,210258
India,Mahesāna (Mehsāna),GUJ,109950,141453,190753
India,Malappuram,KER,142204,170409,1699060
India,Mālegaon,MAH,342595,409403,576642
India,Mancherial,AND,52657,118195,163552
India,Mangalore,KAR,426341,539387,623841
India,Mathura,UTT,235922,323315,456706
India,Mau (Maunath Bhanjan),UTT,136697,212657,278745
India,Medinīpur (Midnapore),WES,125498,149769,169264
